2015-04-30 8:09:32 - PHP Notice:  Undefined variable: length in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 272
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: width in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 275
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: height in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 278
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: length_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: weight in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 300
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: weight_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: maps in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 290
2015-04-30 8:09:44 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 290
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: map in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 296
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: map in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 296
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: sku in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 118
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: upc in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 124
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: ean in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 130
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: jan in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 136
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: isbn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 142
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: mpn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 148
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: location in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 154
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: price in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 160
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: tax_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: subtract in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 201
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: length in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 272
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: width in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 275
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: height in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 278
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: length_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: weight in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 300
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: weight_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:12:09 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\system\library\cart.php on line 296
2015-04-30 8:12:18 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\system\library\cart.php on line 296
